Name,POS,Age,Exp,College,team
Tyrod Taylor,QB,36,15,Virginia Tech,GB
Chris Brooks,RB,26,3,BYU; California,GB
Damien Martinez,RB,22,1,Miami; Oregon State,GB
Josh Jacobs,RB,28,7,Alabama,GB
MarShawn Lloyd,RB,25,2,USC; South Carolina,GB
Pierre Strong,RB,27,4,South Dakota State,GB
Drake Dabney,TE,24,1,TCU; Baylor,GB
John FitzPatrick,TE,26,4,Georgia,GB
Josh Whyle,TE,26,3,Cincinnati,GB
Luke Musgrave,TE,25,3,Oregon State,GB
Messiah Swinson,TE,26,2,Arizona State; Missouri,GB
RJ Maryland,TE,21,0,--,GB
Tucker Kraft,TE,25,3,South Dakota State,GB
Christian Watson,WR,27,4,North Dakota State,GB
Isaiah Neyor,WR,24,1,Nebraska; Texas; Wyoming,GB
Jakobie Keeney-James,WR,25,1,UMass Amherst; Eastern Washington,GB
Jayden Reed,WR,26,3,Michigan State; Western Michigan,GB
Matthew Golden,WR,22,1,Texas; Houston,GB
Savion Williams,WR,24,1,TCU,GB
Skyy Moore,WR,25,4,Western Michigan,GB
Will Sheppard,WR,24,1,Colorado; Vanderbilt,GB
C.J. Stroud,QB,24,3,Ohio State,HOU
Davis Mills,QB,27,5,Stanford,HOU
Graham Mertz,QB,25,1,Florida; Wisconsin,HOU
British Brooks,RB,26,2,North Carolina,HOU
Dare Ogunbowale,RB,32,9,Wisconsin,HOU
David Montgomery,RB,28,7,Iowa State,HOU
Jawhar Jordan,RB,26,2,Louisville; Syracuse,HOU
Joe Mixon,RB,29,9,Oklahoma,HOU
Joshua Pitsenberger,RB,,0,--,HOU
Nick Chubb,RB,30,8,Georgia,HOU
Woody Marks,RB,25,1,USC; Mississippi State,HOU
Brevin Jordan,TE,25,5,Miami,HOU
Cade Stover,TE,25,2,Ohio State,HOU
Dalton Schultz,TE,29,8,Stanford,HOU
Foster Moreau,TE,29,7,LSU,HOU
Luke Lachey,TE,24,1,Iowa,HOU
Braxton Berrios,WR,30,8,Miami,HOU
Jared Wayne,WR,25,3,Pittsburgh,HOU
Jayden Higgins,WR,23,1,Iowa State; Eastern Kentucky,HOU
Jaylin Noel,WR,23,1,Iowa State,HOU
