player_name,recent_team,pos,g,p_att,cmp,p_yd,p_td,int,car,r_yd,r_td,tgt,rec,rec_yd,rec_td,fmb,tp_c,f_ppr,tgt_share,ypc,ypr,cmp_pct,td_rate
J.Oliver,MIN,TE,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,22.0,258.0,3.0,0.0,0.0,65.8,,,11.727272727272727,,
T.Hockenson,MIN,TE,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,41.0,455.0,0.0,0.0,0.0,86.5,,,11.097560975609756,,
B.Powell,MIN,WR,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,71.0,0.0,0.0,0.0,14.1,,,10.142857142857142,,
J.Addison,MIN,WR,15,0.0,0.0,0.0,0.0,0.0,3.0,20.0,1.0,99.0,63.0,875.0,9.0,0.0,0.0,212.5,,6.666666666666667,13.88888888888889,,
J.Jefferson,MIN,WR,17,1.0,1.0,22.0,0.0,0.0,1.0,3.0,0.0,154.0,103.0,1533.0,10.0,0.0,0.0,317.48,154.0,3.0,14.883495145631068,1.0,0.0
J.Nailor,MIN,WR,15,0.0,0.0,0.0,0.0,0.0,3.0,-4.0,0.0,42.0,28.0,414.0,6.0,0.0,0.0,105.0,,-1.3333333333333333,14.785714285714286,,
T.Sherfield,MIN,WR,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,83.0,1.0,0.0,0.0,22.3,,,10.375,,
D.Maye,NE,QB,13,338.0,225.0,2276.0,15.0,10.0,54.0,421.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,177.14000000000001,0.0,7.796296296296297,,0.665680473372781,0.04437869822485207
J.Brissett,NE,QB,7,161.0,95.0,826.0,2.0,1.0,15.0,62.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,45.24,0.0,4.133333333333334,,0.5900621118012422,0.012422360248447204
J.Milton,NE,QB,1,29.0,22.0,241.0,1.0,0.0,10.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,19.24,0.0,1.6,,0.7586206896551724,0.034482758620689655
A.Gibson,NE,RB,17,0.0,0.0,0.0,0.0,0.0,120.0,538.0,1.0,29.0,23.0,206.0,0.0,0.0,0.0,103.4,,4.483333333333333,8.956521739130435,,
J.Hasty,NE,RB,9,0.0,0.0,0.0,0.0,0.0,20.0,69.0,0.0,12.0,10.0,59.0,1.0,0.0,0.0,28.8,,3.45,5.9,,
R.Stevenson,NE,RB,15,0.0,0.0,0.0,0.0,0.0,207.0,801.0,7.0,41.0,33.0,168.0,1.0,3.0,2.0,175.9,,3.869565217391304,5.090909090909091,,
T.Jennings,NE,RB,2,0.0,0.0,0.0,0.0,0.0,13.0,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.3,,2.5384615384615383,,,
A.Hooper,NE,TE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,45.0,476.0,3.0,0.0,0.0,108.6,,,10.577777777777778,,
