"","player_name","recent_team","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","tgt","rec","rec_yd","rec_td","fmb","tp_c","f_ppr","tgt_share","ypc","ypr","cmp_pct","td_rate"
"586","C.Conley","TEN","WR",3,0,0,0,0,0,0,0,0,5,4,46,0,0,0,8.6,0.0066577896138482,NA,11.5,NA,NA
"587","C.Hollister","TEN","WR",4,0,0,0,0,0,0,0,0,5,3,54,0,0,0,8.4,0.0066577896138482,NA,18,NA,NA
"588","J.Gordon","TEN","WR",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00133155792276964,NA,NA,NA,NA
"589","K.Philips","TEN","WR",4,0,0,0,0,0,0,0,0,13,8,78,0,0,0,15.8,0.0173102529960053,NA,9.75,NA,NA
"590","M.Kinsey","TEN","WR",1,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1.3,0.00133155792276964,NA,3,NA,NA
"591","N.Westbrook-Ikhine","TEN","WR",15,0,0,0,0,0,0,0,0,50,25,397,3,0,0,82.7,0.066577896138482,NA,15.88,NA,NA
"592","R.McMath","TEN","WR",4,0,0,0,0,0,1,4,0,8,2,40,0,0,0,6.4,0.0106524633821571,4,20,NA,NA
"593","R.Woods","TEN","WR",17,0,0,0,0,0,0,0,0,91,53,527,2,0,0,117.7,0.121171770972037,NA,9.94339622641509,NA,NA
"594","T.Burks","TEN","WR",11,0,0,0,0,0,4,47,0,54,33,444,1,0,0,88.1,0.0719041278295606,11.75,13.4545454545455,NA,NA
"595","C.Wentz","WAS","QB",8,276,172,1755,11,9,22,86,1,0,0,0,0,1,2,112.8,0,3.90909090909091,NA,0.623188405797101,0.0398550724637681
"596","S.Howell","WAS","QB",1,19,11,169,1,1,5,35,1,0,0,0,0,0,0,18.26,0,7,NA,0.578947368421053,0.0526315789473684
"597","T.Heinicke","WAS","QB",9,259,161,1859,12,6,28,96,1,0,0,0,0,5,0,115.96,0,3.42857142857143,NA,0.621621621621622,0.0463320463320463
"598","A.Gibson","WAS","RB",15,0,0,0,0,0,149,546,3,58,46,353,2,0,0,165.9,0.12719298245614,3.66442953020134,7.67391304347826,NA,NA
"599","B.Robinson","WAS","RB",12,0,0,0,0,0,205,797,2,12,9,60,1,0,0,112.7,0.0263157894736842,3.88780487804878,6.66666666666667,NA,NA
"600","J.McKissic","WAS","RB",8,0,0,0,0,0,22,95,0,40,27,173,0,0,0,55.8,0.087719298245614,4.31818181818182,6.40740740740741,NA,NA
"601","J.Patterson","WAS","RB",1,0,0,0,0,0,17,78,0,1,0,0,0,0,0,7.8,0.00219298245614035,4.58823529411765,NA,NA,NA
"602","J.Williams","WAS","RB",7,0,0,0,0,0,37,152,0,10,7,40,0,0,0,26.2,0.0219298245614035,4.10810810810811,5.71428571428571,NA,NA
"603","R.Bonnafon","WAS","RB",1,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0.8,0,2.66666666666667,NA,NA,NA
"604","A.Rogers","WAS","TE",5,0,0,0,0,0,2,26,0,6,5,64,0,0,0,14,0.0131578947368421,13,12.8,NA,NA
"605","C.Turner","WAS","TE",5,0,0,0,0,0,0,0,0,9,2,23,0,0,0,4.3,0.0197368421052632,NA,11.5,NA,NA
"606","J.Bates","WAS","TE",9,0,0,0,0,0,0,0,0,22,14,108,1,0,0,30.8,0.0482456140350877,NA,7.71428571428571,NA,NA
"607","L.Thomas","WAS","TE",13,0,0,0,0,0,0,0,0,61,39,323,1,0,0,77.3,0.133771929824561,NA,8.28205128205128,NA,NA
"608","C.Samuel","WAS","WR",17,0,0,0,0,0,38,187,1,92,64,656,4,1,0,176.3,0.201754385964912,4.92105263157895,10.25,NA,NA
"609","C.Sims","WAS","WR",12,0,0,0,0,0,0,0,0,18,8,89,0,0,0,16.9,0.0394736842105263,NA,11.125,NA,NA
"610","D.Brown","WAS","WR",7,0,0,0,0,0,1,15,0,14,5,143,2,0,0,32.8,0.0307017543859649,15,28.6,NA,NA
"611","D.Milne","WAS","WR",7,0,0,0,0,0,0,0,0,7,6,37,1,0,0,15.7,0.0153508771929825,NA,6.16666666666667,NA,NA
"612","J.Dotson","WAS","WR",12,0,0,0,0,0,2,-7,0,61,35,523,7,0,0,130.6,0.133771929824561,-3.5,14.9428571428571,NA,NA
"613","T.McLaurin","WAS","WR",17,0,0,0,0,0,7,29,0,120,77,1191,5,0,0,229,0.263157894736842,4.14285714285714,15.4675324675325,NA,NA
