"","Name","POS","Age","Exp","College","team"
"159","Jared Pinkney","TE",25,4,"Vanderbilt","CHI"
"160","Lachlan Pitts","TE",NA,0,"William & Mary","CHI"
"161","Robert Tonyan","TE",29,6,"Indiana State","CHI"
"162","Jake Browning","QB",27,1,"Washington","CIN"
"163","Joe Burrow","QB",26,4,"LSU","CIN"
"164","Trevor Siemian","QB",31,8,"Northwestern","CIN"
"165","Reid Sinnett","QB",26,2,"San Diego","CIN"
"166","Chase Brown","RB",23,0,"Illinois","CIN"
"167","Chris Evans","RB",25,3,"Michigan","CIN"
"168","Joe Mixon","RB",27,7,"Oklahoma","CIN"
"169","Jacob Saylors","RB",23,0,"East Tennessee State","CIN"
"170","Calvin Tyler Jr.","RB",24,0,"Utah State","CIN"
"171","Trayveon Williams","RB",25,5,"Texas A&M","CIN"
"172","Tyler Boyd","WR",29,8,"Pittsburgh","CIN"
"173","Malachi Carter","WR",23,0,"Georgia Tech","CIN"
"174","Ja'Marr Chase","WR",23,3,"LSU","CIN"
"175","Tee Higgins","WR",24,4,"Clemson","CIN"
"176","Mac Hippenhammer","WR",24,0,"Miami (OH)","CIN"
"177","Andrei Iosivas","WR",23,0,"Princeton","CIN"
"178","Trenton Irwin","WR",27,3,"Stanford","CIN"
"179","Shedrick Jackson","WR",23,0,"Auburn","CIN"
"180","Charlie Jones","WR",24,0,"Purdue","CIN"
"181","Kwamie Lassiter II","WR",25,1,"Kansas","CIN"
"182","Stanley Morgan","WR",26,5,"Nebraska","CIN"
"183","Trent Taylor","WR",29,6,"Louisiana Tech","CIN"
"184","Devin Asiasi","TE",26,4,"UCLA","CIN"
"185","Nick Bowers","TE",27,2,"Penn State","CIN"
"186","Tanner Hudson","TE",28,4,"Southern Arkansas","CIN"
"187","Drew Sample","TE",27,5,"Washington","CIN"
"188","Irv Smith Jr.","TE",25,5,"Alabama","CIN"
"189","Christian Trahan","TE",24,0,"Houston","CIN"
"190","Mitchell Wilcox","TE",26,4,"South Florida","CIN"
"191","Joshua Dobbs","QB",28,7,"Tennessee","CLE"
"192","Kellen Mond","QB",24,3,"Texas A&M","CLE"
"193","Dorian Thompson-Robinson","QB",23,0,"UCLA","CLE"
"194","Deshaun Watson","QB",27,7,"Clemson","CLE"
"195","Nick Chubb","RB",27,6,"Georgia","CLE"
"196","Demetric Felton Jr.","RB",25,3,"UCLA","CLE"
"197","Jerome Ford","RB",23,2,"Cincinnati","CLE"
"198","Hassan Hall","RB",22,0,"Georgia Tech","CLE"
"199","John Kelly Jr.","RB",26,2,"Tennessee","CLE"
"200","Jordan Wilkins","RB",29,5,"Ole Miss","CLE"
"201","David Bell","WR",22,2,"Purdue","CLE"
"202","Amari Cooper","WR",29,9,"Alabama","CLE"
"203","Jaelon Darden","WR",24,3,"North Texas","CLE"
"204","Marquise Goodwin","WR",32,10,"Texas","CLE"
"205","Jakeem Grant Sr.","WR",30,8,"Texas Tech","CLE"
"206","Mike Harley Jr.","WR",25,1,"Miami","CLE"
"207","Elijah Moore","WR",23,3,"Ole Miss","CLE"
"208","Donovan Peoples-Jones","WR",24,4,"Michigan","CLE"
"209","Anthony Schwartz","WR",22,3,"Auburn","CLE"
"210","Cedric Tillman","WR",23,0,"Tennessee","CLE"
"211","Austin Watkins Jr.","WR",25,1,"UAB","CLE"
"212","Jalen Wayne","WR",24,1,"South Alabama","CLE"
"213","Michael Woods II","WR",23,2,"Oklahoma","CLE"
"214","Jordan Akins","TE",31,6,"UCF","CLE"
"215","Harrison Bryant","TE",25,4,"Florida Atlantic","CLE"
"216","Miller Forristall","TE",25,3,"Alabama","CLE"
"217","Thomas Greaney","TE",25,0,"UAlbany","CLE"
"218","Zaire Mitchell-Paden","TE",23,1,"Florida Atlantic","CLE"
"219","David Njoku","TE",27,7,"Miami","CLE"
"220","Will Grier","QB",28,5,"West Virginia","DAL"
"221","Dak Prescott","QB",30,8,"Mississippi State","DAL"
"222","Cooper Rush","QB",29,6,"Central Michigan","DAL"
"223","Malik Davis","RB",24,2,"Florida","DAL"
"224","Rico Dowdle","RB",25,4,"South Carolina","DAL"
"225","Ronald Jones","RB",26,6,"USC","DAL"
"226","Hunter Luepke","RB",23,0,"North Dakota State","DAL"
"227","Tony Pollard","RB",26,5,"Memphis","DAL"
"228","Deuce Vaughn","RB",21,0,"Kansas State","DAL"
"229","Jose Barbon","WR",23,0,"Temple","DAL"
"230","Jalen Brooks","WR",23,0,"South Carolina","DAL"
"231","Brandin Cooks","WR",29,10,"Oregon State","DAL"
"232","Dontario Drummond","WR",25,1,"Ole Miss","DAL"
"233","David Durden","WR",24,0,"West Florida","DAL"
"234","Simi Fehoko","WR",25,3,"Stanford","DAL"
"235","Michael Gallup","WR",27,6,"Colorado State","DAL"
"236","Dennis Houston","WR",24,1,"Western Illinois","DAL"
